,id,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,sentiment_score
754,9111307,2010-08-13,within a few hours,100%,68%,t,Phibsborough,11,22,"['email', 'phone']",t,t,"Glasnevin, Dublin, Ireland",Dublin City,53.37833,-6.26803,Entire home,Entire home/apt,15,2 baths,6.0,13.0,"[""Oven"", ""Hot water kettle"", ""Fire extinguisher"", ""Dryer"", ""Outdoor furniture"", ""Dining table"", ""Hangers"", ""Indoor fireplace"", ""Security cameras on property"", ""Free driveway parking on premises \u2013 4 spaces"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Kitchen"", ""Cooking basics"", ""Microwave"", ""High chair"", ""Patio or balcony"", ""Private fenced garden or backyard"", ""TV with standard cable"", ""Pack \u2019n play/Travel crib - available upon request"", ""Fireplace guards"", ""Washer"", ""Heating"", ""First aid kit"", ""Dishes and silverware"", ""Drying rack for clothing"", ""Cleaning products"", ""Hot water"", ""Shower gel"", ""Clothing storage: dresser, wardrobe, and closet"", ""Hair dryer"", ""Iron"", ""Dishwasher"", ""Freezer"", ""Free street parking"", ""Bathtub"", ""Cable TV"", ""Shampoo"", ""Luggage dropoff allowed"", ""Coffee maker"", ""Essentials"", ""Private entrance"", ""Refrigerator"", ""Conditioner"", ""Body soap"", ""Bed linens"", ""Toaster"", ""Wifi"", ""BBQ grill"", ""Lockbox"", ""Smoke alarm"", ""Outdoor dining area"", ""Stove"", ""Wine glasses"", ""Baby safety gates""]","$1,133.00",2,1124,1,7,1124,1124,2.2,1124.0,t,10,20,32,236,2022-09-12,58,16,2,2015-11-06,2022-09-10,4.89,4.95,4.84,4.96,5.0,4.75,4.7,f,11,3,8,0,0.44639625715997133
757,9122936,2015-07-16,within an hour,100%,96%,t,Raheny,2,4,"['email', 'phone']",t,t,"Raheny, Dublin, Ireland",Dublin City,53.37958,-6.17037,Private room in home,Private room,2,2 shared baths,4.0,1.0,"[""Fire extinguisher"", ""Hangers"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Host greets you"", ""Breakfast"", ""Private fenced garden or backyard"", ""Heating"", ""First aid kit"", ""Hot water"", ""Free parking on premises"", ""Lock on bedroom door"", ""Hair dryer"", ""Iron"", ""Free street parking"", ""Shampoo"", ""Coffee maker"", ""Essentials"", ""Private entrance"", ""Wifi"", ""Smoke alarm"", ""Waterfront""]",$85.00,2,1125,2,2,1125,1125,2.0,1125.0,t,3,5,7,114,2022-09-12,114,33,2,2016-03-15,2022-08-28,4.81,4.81,4.8,4.88,4.88,4.69,4.76,f,2,0,2,0,0.4360578176360983
763,9149075,2015-10-28,within a few hours,80%,81%,f,Docklands,2,2,"['email', 'phone']",t,t,"Dublin, Dublin 4, Ireland",Dublin City,53.34176,-6.23746,Private room in rental unit,Private room,2,1 bath,1.0,1.0,"[""Oven"", ""Dryer"", ""Hangers"", ""Long term stays allowed"", ""Kitchen"", ""Cooking basics"", ""Microwave"", ""Patio or balcony"", ""TV with standard cable"", ""Heating"", ""Washer"", ""Dishes and silverware"", ""Elevator"", ""Pocket wifi"", ""Cleaning products"", ""Hot water"", ""Clothing storage: dresser and closet"", ""Lock on bedroom door"", ""Hair dryer"", ""Single level home"", ""Iron"", ""Bathtub"", ""Cable TV"", ""Luggage dropoff allowed"", ""Coffee maker"", ""Essentials"", ""Private entrance"", ""Refrigerator"", ""Bed linens"", ""Wifi"", ""Waterfront"", ""Paid parking off premises"", ""Extra pillows and blankets"", ""Paid parking on premises""]",$86.00,3,1125,2,3,1125,1125,3.0,1125.0,t,2,6,19,160,2022-09-12,181,29,4,2015-11-09,2022-08-27,4.54,4.69,4.46,4.55,4.65,4.84,4.52,f,2,0,2,0,0.45914140047227253
781,9254452,2013-10-16,within an hour,100%,21%,f,Clontarf,3,9,"['email', 'phone']",t,t,"Clontarf, Dublin, Ireland",Dublin City,53.36693,-6.21806,Private room in home,Private room,1,1 shared bath,1.0,1.0,"[""Oven"", ""Dryer"", ""Hangers"", ""Indoor fireplace"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Kitchen"", ""Cooking basics"", ""Microwave"", ""High chair"", ""Patio or balcony"", ""Heating"", ""Washer"", ""Dishes and silverware"", ""Dedicated workspace"", ""Backyard"", ""Hot water"", ""Hair dryer"", ""Iron"", ""Dishwasher"", ""Free street parking"", ""Shampoo"", ""Luggage dropoff allowed"", ""Coffee maker"", ""Essentials"", ""Private entrance"", ""Refrigerator"", ""Bed linens"", ""Wifi"", ""Smoke alarm"", ""Keypad"", ""Stove"", ""Extra pillows and blankets""]",$33.00,2,1124,2,2,1124,1124,2.0,1124.0,t,0,0,0,0,2022-09-12,41,1,1,2016-01-03,2022-08-19,4.9,4.98,4.9,5.0,4.95,4.9,4.8,f,3,0,3,0,0.41624826684201693
797,9449373,2014-03-16,within a day,100%,95%,f,Drumcondra,3,3,"['email', 'phone']",t,t,"Fairview, County Dublin, Ireland",Dublin City,53.3674,-6.24907,Entire townhouse,Entire home/apt,9,2 baths,3.0,7.0,"[""Oven"", ""Fire extinguisher"", ""Outdoor furniture"", ""Hangers"", ""Indoor fireplace"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Kitchen"", ""Cooking basics"", ""Microwave"", ""High chair"", ""Crib"", ""Private fenced garden or backyard"", ""Pack \u2019n play/Travel crib"", ""Fireplace guards"", ""Heating"", ""Dishes and silverware"", ""First aid kit"", ""Dedicated workspace"", ""Hot water"", ""Free parking on premises"", ""Children\u2019s books and toys"", ""Hair dryer"", ""Single level home"", ""Iron"", ""Dishwasher"", ""Free street parking"", ""Cable TV"", ""Shampoo"", ""Luggage dropoff allowed"", ""Essentials"", ""Refrigerator"", ""Bed linens"", ""Lockbox"", ""Children\u2019s dinnerware"", ""Private patio or balcony"", ""Free washer \u2013 In unit"", ""24\"" TV with premium cable, standard cable"", ""Smoke alarm"", ""Stove"", ""Extra pillows and blankets"", ""Fast wifi \u2013 251 Mbps""]",$293.00,7,1125,7,7,1125,1125,7.0,1125.0,t,0,3,3,3,2022-09-12,86,10,2,2016-12-28,2022-08-28,4.76,4.86,4.55,4.98,4.92,4.64,4.49,f,3,1,2,0,0.44829732418151524
802,9470721,2015-11-15,within an hour,100%,95%,f,Old City,1,1,"['email', 'phone']",t,t,"Dublin, Ireland",Dublin City,53.34543,-6.2832,Private room in rental unit,Private room,2,1 shared bath,1.0,1.0,"[""Essentials"", ""Private entrance"", ""Fire extinguisher"", ""Hangers"", ""Lock on bedroom door"", ""Hair dryer"", ""Wifi"", ""Iron"", ""Heating"", ""Smoke alarm"", ""First aid kit"", ""Keypad"", ""Shampoo"", ""Backyard"", ""Hot water""]",$84.00,3,4,3,3,1125,1125,3.0,1125.0,t,3,4,16,119,2022-09-12,351,34,3,2015-12-13,2022-09-04,4.64,4.81,4.71,4.85,4.89,4.82,4.68,t,1,0,1,0,0.42399043487450083
806,9559095,2015-03-15,within an hour,100%,30%,f,East Wall,2,2,"['email', 'phone']",t,t,"Drumcondra, Dublin, Ireland",Dublin City,53.3656,-6.2562,Entire townhouse,Entire home/apt,16,3 baths,5.0,12.0,"[""Oven"", ""Dryer"", ""Hangers"", ""Indoor fireplace"", ""Carbon monoxide alarm"", ""Kitchen"", ""Cooking basics"", ""Microwave"", ""High chair"", ""Crib"", ""Patio or balcony"", ""Pack \u2019n play/Travel crib"", ""Heating"", ""Washer"", ""Dishes and silverware"", ""Backyard"", ""Hot water"", ""Children\u2019s books and toys"", ""TV"", ""Hair dryer"", ""Iron"", ""Dishwasher"", ""Free street parking"", ""Shampoo"", ""Luggage dropoff allowed"", ""Coffee maker"", ""Essentials"", ""Refrigerator"", ""Lockbox"", ""Wifi"", ""Smoke alarm"", ""Stove""]",$454.00,14,14,14,14,14,14,14.0,14.0,t,25,55,85,358,2022-09-11,200,0,0,2016-02-01,2020-03-15,4.9,4.93,4.85,4.95,4.95,4.78,4.81,f,2,2,0,0,0.4223056297682098
813,9623111,2015-11-07,within an hour,100%,96%,f,Kilmainham,1,1,"['email', 'phone']",t,t,"Dublin , Dublin, Ireland",Dublin City,53.33795,-6.3246,Private room in condo,Private room,2,1 shared bath,1.0,2.0,"[""Fire extinguisher"", ""Hangers"", ""Carbon monoxide alarm"", ""Laundromat nearby"", ""Clothing storage: wardrobe"", ""Heating"", ""Elevator"", ""Cleaning products"", ""Hot water"", ""Free parking on premises"", ""Shower gel"", ""Lock on bedroom door"", ""Hair dryer"", ""Bathtub"", ""Shampoo"", ""Luggage dropoff allowed"", ""Essentials"", ""Body soap"", ""Conditioner"", ""Bed linens"", ""Wifi"", ""Smoke alarm"", ""Room-darkening shades"", ""Extra pillows and blankets""]",$75.00,1,5,1,1,5,5,1.0,5.0,t,1,10,40,127,2022-09-11,23,8,1,2017-07-21,2022-08-13,4.88,4.94,4.94,5.0,5.0,4.88,4.88,f,1,0,1,0,0.27860216377885555
816,9641440,2014-03-16,within a day,100%,95%,f,Drumcondra,3,3,"['email', 'phone']",t,t,"Fairview, Dublin, Ireland",Dublin City,53.3675,-6.24911,Private room in townhouse,Private room,2,1 shared bath,1.0,3.0,"[""Oven"", ""Fire extinguisher"", ""Fast wifi \u2013 250 Mbps"", ""Hangers"", ""Indoor fireplace"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Kitchen"", ""Cooking basics"", ""Microwave"", ""High chair"", ""Crib"", ""Patio or balcony"", ""Private fenced garden or backyard"", ""TV with standard cable"", ""Heating"", ""Dishes and silverware"", ""First aid kit"", ""Dedicated workspace"", ""Hot water"", ""Children\u2019s books and toys"", ""Lock on bedroom door"", ""Hair dryer"", ""Single level home"", ""Iron"", ""Dishwasher"", ""Free street parking"", ""Cable TV"", ""Shampoo"", ""Luggage dropoff allowed"", ""Essentials"", ""BBQ grill"", ""Refrigerator"", ""Bed linens"", ""Lockbox"", ""Free washer \u2013 In unit"", ""Smoke alarm"", ""Stove"", ""Extra pillows and blankets""]",$40.00,2,1125,2,2,1125,1125,2.0,1125.0,t,0,0,0,0,2022-09-12,60,0,0,2016-02-10,2020-02-12,4.93,4.95,4.88,4.95,5.0,4.6,4.82,t,3,1,2,0,0.4236630308021818
828,9730671,2015-11-01,within an hour,100%,99%,t,Sandymount,1,4,['phone'],t,t,"Sandymount, Dublin, Ireland",Dublin City,53.32183,-6.20942,Entire rental unit,Entire home/apt,2,1.5 baths,1.0,1.0,"[""Hot water kettle"", ""Outdoor furniture"", ""Hangers"", ""Board games"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Laundromat nearby"", ""Host greets you"", ""Microwave"", ""Bikes"", ""Central heating"", ""Mini fridge"", ""Clothing storage: closet and dresser"", ""Pack \u2019n play/Travel crib"", ""Dishes and silverware"", ""First aid kit"", ""Cleaning products"", ""Backyard"", ""Hot water"", ""Shower gel"", ""HDTV with Chromecast, Netflix, premium cable"", ""Hair dryer"", ""Single level home"", ""Iron"", ""Free street parking"", ""Shampoo"", ""Handmade Soap Company body soap"", ""Luggage dropoff allowed"", ""Coffee maker"", ""Essentials"", ""Private entrance"", ""Bed linens"", ""Wifi"", ""Portable heater"", ""Private patio or balcony"", ""Smoke alarm"", ""Room-darkening shades"", ""Outdoor dining area"", ""Waterfront"", ""Wine glasses"", ""Extra pillows and blankets""]",$115.00,1,28,1,1,28,28,1.0,28.0,t,2,4,6,148,2022-09-12,497,101,11,2015-12-10,2022-09-10,4.95,4.95,4.96,4.99,4.98,4.94,4.83,f,1,1,0,0,0.41682997045745945
837,9791712,2013-05-22,within a few hours,90%,99%,t,Sandymount,3,4,"['email', 'phone']",t,t,"Ballsbridge, Dublin, Ireland",Dublin City,53.32863,-6.22111,Entire rental unit,Entire home/apt,2,1.5 baths,1.0,1.0,"[""Oven"", ""Hot water kettle"", ""Fire extinguisher"", ""Dining table"", ""Hangers"", ""Long term stays allowed"", ""Kitchen"", ""Cooking basics"", ""Microwave"", ""Free driveway parking on premises"", ""TV with standard cable"", ""Clothing storage: closet"", ""Heating"", ""Washer"", ""Dishes and silverware"", ""First aid kit"", ""Drying rack for clothing"", ""Cleaning products"", ""Hot water"", ""Shower gel"", ""Hair dryer"", ""Single level home"", ""Iron"", ""Electric stove"", ""Freezer"", ""Cable TV"", ""Essentials"", ""Private entrance"", ""Refrigerator"", ""Body soap"", ""Bed linens"", ""Toaster"", ""Wifi"", ""Private patio or balcony"", ""Smoke alarm"", ""Wine glasses""]",$97.00,1,1125,1,1,1125,1125,1.0,1125.0,t,0,0,0,0,2022-09-12,51,36,7,2016-01-02,2022-09-03,4.76,4.88,4.63,4.96,4.98,4.63,4.61,f,2,2,0,0,0.4044264867627963
848,9876106,2015-04-15,within an hour,99%,99%,f,Georgian Quarter,55,137,"['email', 'phone']",t,t,"Dublin, Ireland",Dublin City,53.33149,-6.26411,Entire rental unit,Entire home/apt,7,1 bath,2.0,5.0,"[""Oven"", ""Fire extinguisher"", ""Dryer"", ""Hangers"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Kitchen"", ""Cooking basics"", ""Microwave"", ""High chair"", ""Pack \u2019n play/Travel crib"", ""Heating"", ""Washer"", ""Dishes and silverware"", ""First aid kit"", ""Cleaning products"", ""Hot water"", ""TV"", ""Hair dryer"", ""Iron"", ""Shampoo"", ""Coffee maker"", ""Essentials"", ""Refrigerator"", ""Bed linens"", ""Wifi"", ""Smoke alarm"", ""Stove"", ""Paid parking off premises"", ""Baby bath"", ""Extra pillows and blankets""]",$236.00,14,1124,14,14,1125,1125,14.0,1125.0,t,0,14,44,134,2022-09-12,290,12,2,2015-12-14,2022-08-29,4.64,4.77,4.82,4.73,4.72,4.71,4.67,f,55,55,0,0,0.3989225427246205
849,9892682,2015-04-03,within an hour,90%,99%,f,Northside,4,13,"['email', 'phone']",t,t,"Dublin, Ireland",Dublin City,53.341,-6.23687,Entire rental unit,Entire home/apt,7,2.5 baths,3.0,6.0,"[""Oven"", ""Fire extinguisher"", ""Hangers"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Kitchen"", ""Cooking basics"", ""Microwave"", ""TV with standard cable"", ""Heating"", ""Washer"", ""Dishes and silverware"", ""First aid kit"", ""Elevator"", ""Free parking on premises"", ""Hair dryer"", ""Iron"", ""Dishwasher"", ""Cable TV"", ""Shampoo"", ""Essentials"", ""Refrigerator"", ""Bed linens"", ""Lockbox"", ""Wifi"", ""Smoke alarm""]",$715.00,3,1125,3,3,3,1125,3.0,811.0,t,8,14,24,47,2022-09-12,164,22,0,2016-02-29,2022-06-23,4.41,4.59,4.44,4.4,4.63,4.61,4.36,t,4,4,0,0,0.35679905961889147
852,9919222,2015-12-10,within an hour,100%,98%,t,Phibsborough,1,1,"['email', 'phone']",t,t,"Dublin, Ireland",Dublin City,53.36014,-6.27729,Entire rental unit,Entire home/apt,2,1 bath,1.0,1.0,"[""Essentials"", ""TV"", ""Refrigerator"", ""Private entrance"", ""Hangers"", ""Wifi"", ""Hair dryer"", ""Iron"", ""Heating"", ""Smoke alarm"", ""Carbon monoxide alarm"", ""Kitchen"", ""Dishes and silverware"", ""Shampoo"", ""Hot water""]",$101.00,2,14,2,2,14,14,2.0,14.0,t,4,6,14,135,2022-09-12,305,54,5,2016-02-16,2022-08-31,4.92,4.95,4.95,4.98,4.99,4.79,4.88,t,1,1,0,0,0.3607464547129333
872,10146203,2013-06-23,within a day,86%,73%,f,Crumlin,17,22,"['email', 'phone']",t,t,"Dublin, Ireland",Fingal,53.38321,-6.41385,Entire home,Entire home/apt,7,4 baths,4.0,5.0,"[""Oven"", ""Fire extinguisher"", ""Hangers"", ""Free dryer \u2013 In unit"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Kitchen"", ""Cooking basics"", ""Host greets you"", ""Microwave"", ""Private fenced garden or backyard"", ""Pack \u2019n play/Travel crib"", ""Heating"", ""Dishes and silverware"", ""First aid kit"", ""Dedicated workspace"", ""Hot water"", ""Free parking on premises"", ""Hair dryer"", ""Iron"", ""Dishwasher"", ""32\"" HDTV with standard cable"", ""Free street parking"", ""Cable TV"", ""Coffee maker"", ""Essentials"", ""Refrigerator"", ""Bed linens"", ""Wifi"", ""Free washer \u2013 In unit"", ""Smoke alarm"", ""Stove""]",$355.00,3,55,1,6,55,55,3.0,55.0,t,5,22,42,201,2022-09-12,107,10,1,2016-03-15,2022-08-16,4.58,4.77,4.57,4.87,4.87,4.56,4.68,f,13,13,0,0,0.4175641701017948
880,10269677,2015-09-22,within an hour,100%,95%,f,Blackrock,3,3,"['email', 'phone']",t,t,"Dublin, Ireland",Dublin City,53.33882,-6.24343,Entire rental unit,Entire home/apt,4,1 bath,1.0,2.0,"[""Essentials"", ""Refrigerator"", ""Dryer"", ""Wifi"", ""Long term stays allowed"", ""Heating"", ""Washer"", ""Smoke alarm"", ""Carbon monoxide alarm"", ""Kitchen"", ""Dedicated workspace"", ""Dishes and silverware"", ""Shampoo""]",$150.00,15,180,15,15,1125,1125,15.0,1125.0,t,0,13,34,34,2022-09-11,109,2,0,2016-02-10,2022-08-05,4.13,4.26,4.26,4.61,4.42,4.43,4.11,t,3,3,0,0,0.3136622685547006
900,10654920,2013-06-19,within a few hours,100%,100%,f,Drumcondra,1,4,"['email', 'phone']",t,t,"Drumcondra, Dublin, Ireland",Dublin City,53.36163,-6.24831,Private room in home,Private room,2,1 shared bath,1.0,1.0,"[""Essentials"", ""Fire extinguisher"", ""Wifi"", ""Hair dryer"", ""Heating"", ""Smoke alarm"", ""Shampoo"", ""Hot water"", ""Free parking on premises""]",$103.00,1,1,1,1,1,1,1.0,1.0,t,23,52,69,273,2022-09-12,44,1,1,2016-02-08,2022-09-11,4.43,4.55,4.86,4.81,4.79,4.6,4.44,f,1,0,1,0,0.37222815954065946
901,10676358,2014-11-21,within an hour,100%,96%,t,Phibsborough,1,2,"['email', 'phone']",t,t,"Dublin, Ireland",Dublin City,53.35498,-6.2686,Entire home,Entire home/apt,6,1 bath,3.0,3.0,"[""Oven"", ""Hot water kettle"", ""Fire extinguisher"", ""Dining table"", ""Hangers"", ""Indoor fireplace"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Kitchen"", ""Laundromat nearby"", ""Cooking basics"", ""Microwave"", ""Radiant heating"", ""Crib"", ""36\"" TV with standard cable"", ""Central heating"", ""Bluetooth sound system"", ""Fireplace guards"", ""Dishes and silverware"", ""First aid kit"", ""Cleaning products"", ""Hot water"", ""Free washer \u2013 In building"", ""Free dryer \u2013 In building"", ""Free parking on premises \u2013 1 space"", ""Hair dryer"", ""Iron"", ""Freezer"", ""Clothing storage: wardrobe, closet, and dresser"", ""Air conditioning"", ""Bathtub"", ""Cable TV"", ""Coffee maker"", ""Essentials"", ""Private entrance"", ""Refrigerator"", ""BBQ grill"", ""Private garden or backyard"", ""Bed linens"", ""Toaster"", ""Wifi"", ""Private patio or balcony"", ""Smoke alarm"", ""Room-darkening shades"", ""Wine glasses""]",$360.00,3,1125,3,3,1125,1125,3.0,1125.0,t,10,26,33,192,2022-09-12,131,41,4,2016-05-10,2022-09-03,4.84,4.91,4.63,4.91,4.95,4.74,4.81,f,1,1,0,0,0.41830982935885946
913,10824761,2014-11-28,within an hour,100%,100%,f,Booterstown,1,1,"['email', 'phone']",t,t,"Blackrock, Dublin, Ireland",Dn Laoghaire-Rathdown,53.31068,-6.21304,Entire home,Entire home/apt,8,4.5 baths,5.0,5.0,"[""Oven"", ""Dryer"", ""Hangers"", ""Indoor fireplace"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Kitchen"", ""Cooking basics"", ""Microwave"", ""Private fenced garden or backyard"", ""TV with standard cable"", ""Ethernet connection"", ""Fireplace guards"", ""Heating"", ""Dishes and silverware"", ""First aid kit"", ""Dedicated workspace"", ""Baking sheet"", ""Hot water"", ""Free parking on premises"", ""Shower gel"", ""Children\u2019s books and toys"", ""Hair dryer"", ""Iron"", ""Dishwasher"", ""Cable TV"", ""Shampoo"", ""Luggage dropoff allowed"", ""Coffee maker"", ""Essentials"", ""BBQ grill"", ""Refrigerator"", ""EV charger"", ""Bed linens"", ""Wifi"", ""Private patio or balcony"", ""Free washer \u2013 In unit"", ""Smoke alarm"", ""Room-darkening shades"", ""Stove"", ""Paid parking off premises"", ""Extra pillows and blankets""]",$270.00,9,1125,9,9,1125,1125,9.0,1125.0,t,0,0,0,19,2022-09-12,7,1,0,2017-07-22,2022-07-23,5.0,5.0,4.14,5.0,5.0,5.0,4.71,t,1,1,0,0,0.3747794587742504
920,10945353,2014-06-25,within a few hours,75%,76%,f,Dundrum,1,4,"['email', 'phone', 'work_email']",t,t,"Dublin 14, County Dublin, Ireland",Dn Laoghaire-Rathdown,53.30581,-6.23767,Entire rental unit,Entire home/apt,2,1 bath,1.0,1.0,"[""Oven"", ""Hot water kettle"", ""Fire extinguisher"", ""Outdoor furniture"", ""Dining table"", ""Hangers"", ""Indoor fireplace"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Kitchen"", ""Laundromat nearby"", ""Cooking basics"", ""Breakfast"", ""Radiant heating"", ""Private sauna"", ""Pour-over coffee"", ""Clothing storage: closet"", ""Ethernet connection"", ""Dishes and silverware"", ""First aid kit"", ""Dedicated workspace"", ""Baking sheet"", ""Hot water"", ""Free parking on premises"", ""Hair dryer"", ""Single level home"", ""Iron"", ""Dishwasher"", ""Electric stove"", ""Bathtub"", ""Shampoo"", ""Coffee maker"", ""Essentials"", ""Private entrance"", ""Refrigerator"", ""Shared garden or backyard"", ""Bed linens"", ""Lockbox"", ""Wifi"", ""Portable heater"", ""Private patio or balcony"", ""Smoke alarm"", ""Wine glasses"", ""Extra pillows and blankets""]",$250.00,4,30,4,4,1125,1125,4.0,1125.0,t,0,0,16,106,2022-09-12,1,0,0,2018-10-12,2018-10-12,5.0,5.0,5.0,5.0,5.0,4.0,4.0,t,1,1,0,0,0.31062500000000004
931,11008133,2016-02-02,within a few hours,100%,0%,f,Trinity College,2,2,"['email', 'phone']",t,t,"Dublin, County Dublin, Ireland",Dublin City,53.34311,-6.24969,Entire condo,Entire home/apt,5,2 baths,2.0,2.0,"[""Oven"", ""Fire extinguisher"", ""Dryer"", ""Hangers"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Kitchen"", ""Cooking basics"", ""Microwave"", ""High chair"", ""TV with standard cable"", ""Pack \u2019n play/Travel crib"", ""Heating"", ""Washer"", ""Dishes and silverware"", ""First aid kit"", ""Elevator"", ""Hot water"", ""Hair dryer"", ""Iron"", ""Dishwasher"", ""Bathtub"", ""Cable TV"", ""Shampoo"", ""Luggage dropoff allowed"", ""Essentials"", ""EV charger"", ""Refrigerator"", ""Bed linens"", ""Lockbox"", ""Wifi"", ""Smoke alarm"", ""Room-darkening shades"", ""Extra pillows and blankets""]",$158.00,81,81,81,81,1125,1125,81.0,1125.0,t,0,0,0,0,2022-09-12,151,0,0,2016-03-13,2019-09-01,4.81,4.83,4.89,4.86,4.91,4.93,4.72,t,2,2,0,0,0.4354472484115756
940,11080303,2012-01-02,within an hour,100%,99%,f,Stoneybatter/Arbour Hill,8,8,"['email', 'phone']",t,t,"Dublin, Ireland",Dublin City,53.35708,-6.29112,Entire rental unit,Entire home/apt,2,1.5 baths,1.0,2.0,"[""Oven"", ""Dryer"", ""Hangers"", ""Long term stays allowed"", ""Kitchen"", ""Cooking basics"", ""Microwave"", ""High chair"", ""TV with standard cable"", ""Pack \u2019n play/Travel crib"", ""Heating"", ""Washer"", ""Dishes and silverware"", ""Hot water"", ""Free parking on premises"", ""Hair dryer"", ""Iron"", ""Dishwasher"", ""Free street parking"", ""Cable TV"", ""Luggage dropoff allowed"", ""Coffee maker"", ""Essentials"", ""Refrigerator"", ""Bed linens"", ""Lockbox"", ""Wifi"", ""Smoke alarm"", ""Stove""]",$101.00,2,365,2,5,365,365,3.0,365.0,t,0,2,5,161,2022-09-12,69,12,1,2016-04-02,2022-08-26,4.59,4.81,4.93,4.81,4.9,4.65,4.62,t,8,8,0,0,0.3470497569560069
948,11137294,2016-02-08,within an hour,100%,94%,f,Stoneybatter/Arbour Hill,4,4,"['email', 'phone', 'work_email']",t,f,"Dublin, Ireland",Dublin City,53.34733,-6.28939,Private room in bed and breakfast,Private room,2,1 private bath,1.0,4.0,"[""TV with standard cable"", ""Essentials"", ""Fire extinguisher"", ""Lock on bedroom door"", ""Wifi"", ""Hair dryer"", ""Iron"", ""Long term stays allowed"", ""Heating"", ""Smoke alarm"", ""Carbon monoxide alarm"", ""Keypad"", ""Dedicated workspace"", ""Cable TV"", ""Crib"", ""Hot water""]",$173.00,1,365,1,5,28,365,1.1,284.2,t,0,0,0,0,2022-09-12,25,4,0,2016-04-20,2022-07-18,4.32,4.64,4.44,4.88,4.72,4.56,4.56,t,4,0,4,0,0.3373042593105618
953,11211533,2013-03-22,within a few hours,100%,80%,t,Portobello,6,7,"['email', 'phone', 'work_email']",t,t,"Dublin, Ireland",Dublin City,53.33385,-6.26623,Entire rental unit,Entire home/apt,4,1 bath,1.0,3.0,"[""Oven"", ""Hot water kettle"", ""Dryer"", ""Dining table"", ""Hangers"", ""Indoor fireplace"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Kitchen"", ""Cooking basics"", ""Microwave"", ""Patio or balcony"", ""Pack \u2019n play/Travel crib"", ""Building staff"", ""Ethernet connection"", ""Fireplace guards"", ""Washer"", ""Heating"", ""First aid kit"", ""Dishes and silverware"", ""Drying rack for clothing"", ""Cleaning products"", ""Baking sheet"", ""Hot water"", ""Backyard"", ""Shower gel"", ""Hair dryer"", ""Single level home"", ""Iron"", ""Freezer"", ""Free street parking"", ""Shampoo"", ""Luggage dropoff allowed"", ""Record player"", ""Essentials"", ""Coffee maker"", ""Refrigerator"", ""Conditioner"", ""Body soap"", ""Bed linens"", ""Wifi"", ""Clothing storage: wardrobe and closet"", ""Smoke alarm"", ""Room-darkening shades"", ""Stove"", ""Wine glasses"", ""Paid parking off premises"", ""Extra pillows and blankets""]",$180.00,15,90,15,15,90,90,15.0,90.0,t,0,18,48,323,2022-09-12,82,1,0,2016-05-06,2022-07-23,4.89,4.91,4.84,4.94,5.0,4.94,4.89,f,6,2,4,0,0.4039715280560842
966,11278756,2015-06-08,within a few hours,100%,94%,t,Old City,2,2,"['email', 'phone']",t,t,"Dublin, Ireland",Dublin City,53.33716,-6.26883,Private room in home,Private room,2,1 private bath,1.0,1.0,"[""Essentials"", ""Bed linens"", ""Hangers"", ""Wifi"", ""Hair dryer"", ""Long term stays allowed"", ""Heating"", ""Room-darkening shades"", ""Smoke alarm"", ""Carbon monoxide alarm"", ""Host greets you"", ""Breakfast"", ""Paid parking off premises"", ""Extra pillows and blankets"", ""Hot water"", ""Shower gel""]",$130.00,2,1125,2,2,1125,1125,2.0,1125.0,t,2,9,22,224,2022-09-12,350,47,3,2016-03-13,2022-09-04,4.98,4.97,4.99,4.99,5.0,4.98,4.94,f,2,0,2,0,0.4709478752341841
